target,stage3_3_baseline_model,stage3_3_mean_R2,stage3_3_RMSE,stage5_1_best_easy_input_set,stage5_1_best_model,stage5_1_easy_mean_R2,stage5_1_easy_RMSE,performance_R2_loss,RMSE_percent_change,scientific_impact_assessment,justification
Ni_num,SVR_RBF (M3_Core_IonRatios),0.1281,0.5841,E1,ElasticNet (LOG1P),0.0813,1.507,0.0468,158.0,MODERATE_PERFORMANCE_LOSS,Predictive accuracy dropped by 0.0468 R2 points when omitting lab variables. Field model suitable for initial screening only.
Pb_num,SVR_RBF (M2_Core_Salinity),-0.36,0.7412,E4,Ridge (LOG1P),-0.6657,0.9156,0.3057,23.53,MODERATE_PERFORMANCE_LOSS,Predictive accuracy dropped by 0.3057 R2 points when omitting lab variables. Field model suitable for initial screening only.
Mn_num,Lasso (M4_Core_IonExchange),-0.2894,0.8105,E3,Lasso (LOG1P),-0.381,0.9365,0.0916,15.55,MODERATE_PERFORMANCE_LOSS,Predictive accuracy dropped by 0.0916 R2 points when omitting lab variables. Field model suitable for initial screening only.
As_num,SVR_RBF (M2_Core_Salinity),-0.3635,0.8912,E5,SVR_RBF (RAW),-0.2752,5.6446,-0.0883,533.37,FIELD_MODEL_PARALLEL_PERFORMANCE,Field model achieved comparable or slightly higher cross-validated stability (-0.0883 R2 difference) due to parsimony.
Fe_num,SVR_RBF (M5_Core_DepthInteractions),-0.5169,0.925,E4,SVR_RBF (RAW),-0.4377,2.7494,-0.0792,197.23,FIELD_MODEL_PARALLEL_PERFORMANCE,Field model achieved comparable or slightly higher cross-validated stability (-0.0792 R2 difference) due to parsimony.
Zn_num,Lasso (M1_Core),-0.6877,1.052,E1,SVR_RBF (RAW),-0.5835,21.7355,-0.1042,1966.11,FIELD_MODEL_PARALLEL_PERFORMANCE,Field model achieved comparable or slightly higher cross-validated stability (-0.1042 R2 difference) due to parsimony.
HPI,Lasso (M4_Core_IonExchange),-0.1039,0.652,E1,Lasso (LOG1P),-0.1949,64.3695,0.091,9772.62,MODERATE_PERFORMANCE_LOSS,Predictive accuracy dropped by 0.0910 R2 points when omitting lab variables. Field model suitable for initial screening only.
HEI,Lasso (M1_Core),-0.2678,0.715,E2,SVR_RBF (RAW),-0.3139,15.9642,0.0461,2132.76,MODERATE_PERFORMANCE_LOSS,Predictive accuracy dropped by 0.0461 R2 points when omitting lab variables. Field model suitable for initial screening only.
WQI,Lasso (M4_Core_IonExchange),-0.1587,0.682,E4,SVR_RBF (RAW),-0.1622,25.1524,0.0035,3588.04,NEGLIGIBLE_PERFORMANCE_LOSS,Removing expensive lab variables resulted in minimal R2 loss (+0.0035). Field screening is scientifically equivalent.
Cd,SVR_RBF (M4_Core_IonExchange),-0.255,0.085,E2,SVR_RBF (RAW),-0.3139,15.9642,0.0589,18681.41,MODERATE_PERFORMANCE_LOSS,Predictive accuracy dropped by 0.0589 R2 points when omitting lab variables. Field model suitable for initial screening only.
