variable,classification,rationale
WELL_TYPE,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
WELL_DEPTH,A. Allowed Primary Predictor,Low-cost field measurement; independent of heavy-metal laboratory analysis.
DISTRICT,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
THANA,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
UNION,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
MOUZA,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
GEOCODE,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
SAMPLE_ID,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Ca,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Mg,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Na,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
K,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
P,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Cl,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
HCO3,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
SO4,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
NH4-N,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
NO2-N,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
NO3-N,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Pb,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Ni,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Zn,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
As,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Cd,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Cr,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Cu,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Fe,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Mn,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Ca_num,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Mg_num,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Na_num,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
K_num,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
Cl_num,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
HCO3_num,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
SO4_num,E. Metadata / Spatial Identifier,"Spatial location, sample ID, or metadata."
NO3-N_num,A. Allowed Primary Predictor,Low-cost field measurement; independent of heavy-metal laboratory analysis.
Fe_num,B. Forbidden Target-Derived Predictor,Laboratory spectroscopy required; target or target-correlated heavy metal.
Mn_num,B. Forbidden Target-Derived Predictor,Laboratory spectroscopy required; target or target-correlated heavy metal.
As_num,B. Forbidden Target-Derived Predictor,Laboratory spectroscopy required; target or target-correlated heavy metal.
Pb_num,B. Forbidden Target-Derived Predictor,Laboratory spectroscopy required; target or target-correlated heavy metal.
Ni_num,B. Forbidden Target-Derived Predictor,Laboratory spectroscopy required; target or target-correlated heavy metal.
